station,meas_wse
4169.236,347.627
4168.236,347.627
4167.236,347.727
4166.235,347.727
4165.235,347.727
4164.235,347.677
4163.235,347.627
4162.235,347.627
4161.234,347.627
4160.234,347.627
4159.234,347.527
4158.234,347.627
4157.234,347.627
4156.233,347.627
4155.233,347.627
4154.233,347.627
4153.233,347.627
4152.233,347.627
4151.232,347.627
4150.232,347.677
4149.232,347.677
4148.232,347.627
4147.232,347.627
4146.231,347.627
4145.231,347.627
4144.231,347.627
4143.231,347.627
4142.231,347.627
4141.23,347.627
4140.23,347.677
4139.23,347.627
4138.23,347.627
4137.23,347.627
4136.229,347.627
4135.229,347.627
4134.229,347.627
4133.229,347.627
4132.229,347.627
4131.228,347.627
4130.228,347.627
4129.228,347.627
4128.228,347.627
4127.228,347.627
4126.227,347.627
4125.227,347.627
4124.227,347.627
4123.227,347.628
4122.227,347.628
4121.226,347.628
4120.226,347.628
4119.226,347.528
4118.226,347.578
4117.226,347.628
4116.225,347.628
4115.225,347.628
4114.225,347.628
4113.225,347.628
4112.225,347.628
4111.224,347.628
4110.224,347.628
4109.224,347.628
4108.224,347.628
4107.224,347.578
4106.223,347.528
4105.223,347.528
4104.223,347.628
4103.223,347.628
4102.223,347.578
4101.222,347.528
4100.222,347.578
4099.222,347.528
4098.222,347.528
4097.222,347.528
4096.221,347.528
4095.221,347.528
4094.221,347.528
4093.221,347.528
4092.221,347.528
4091.22,347.528
4090.22,347.528
4089.22,347.528
4088.22,347.528
4087.22,347.528
4086.219,347.528
4085.219,347.478
4084.219,347.528
4083.219,347.428
4082.219,347.428
4081.218,347.428
4080.218,347.428
4079.218,347.528
4078.218,347.528
4077.218,347.528
4076.217,347.528
4075.217,347.528
4074.217,347.528
4073.217,347.528
4072.217,347.528
4071.216,347.528
4070.216,347.528
4069.216,347.428
4068.216,347.528
4067.216,347.528
4066.215,347.528
4065.215,347.528
4064.215,347.528
4063.215,347.478
4062.215,347.428
4061.214,347.528
4060.214,347.528
4059.214,347.528
4058.214,347.528
4057.214,347.528
4056.213,347.528
4055.213,347.528
4054.213,347.528
4053.213,347.528
4052.213,347.528
4051.212,347.528
4050.212,347.528
4049.212,347.528
4048.212,347.528
4047.212,347.528
4046.211,347.528
4045.211,347.528
4044.211,347.528
4043.211,347.528
4042.211,347.528
4041.21,347.528
4040.21,347.528
4039.21,347.528
4038.21,347.528
4037.21,347.528
4036.209,347.528
4035.209,347.428
4034.209,347.528
4033.209,347.528
4032.209,347.528
4031.208,347.528
4030.208,347.528
4029.208,347.528
4028.208,347.528
4027.208,347.528
4026.207,347.528
4025.207,347.528
4024.207,347.528
4023.207,347.528
4022.207,347.528
4021.206,347.528
4020.206,347.528
4019.206,347.528
4018.206,347.528
4017.206,347.528
4016.205,347.528
4015.205,347.528
4014.205,347.528
4013.205,347.528
4012.205,347.528
4011.204,347.528
4010.204,347.528
4009.204,347.528
4008.204,347.528
4007.204,347.528
4006.203,347.528
4005.203,347.528
4004.203,347.528
4003.203,347.528
4002.203,347.528
4001.202,347.528
4000.202,347.528
3999.202,347.528
3998.202,347.528
3997.202,347.528
3996.201,347.528
3995.201,347.528
3994.201,347.528
3993.201,347.528
3992.201,347.528
3991.2,347.528
3990.2,347.528
3989.2,347.528
3988.2,347.528
3987.2,347.528
3986.199,347.528
3985.199,347.528
3984.199,347.528
3983.199,347.528
3982.199,347.528
3981.198,347.528
3980.198,347.528
3979.198,347.528
3978.198,347.528
3976.197,347.528
3975.197,347.528
3974.197,347.528
3973.197,347.528
3972.197,347.528
3971.196,347.528
3970.196,347.528
3969.196,347.528
3968.196,347.528
3967.196,347.528
3966.195,347.528
3965.195,347.528
3964.195,347.528
3963.195,347.528
3962.195,347.528
3961.194,347.528
3960.194,347.528
3959.194,347.528
3958.194,347.528
3957.194,347.528
3956.193,347.528
3955.193,347.528
3954.193,347.528
3953.193,347.528
3952.193,347.528
3951.192,347.528
3950.192,347.528
3949.192,347.528
3948.192,347.528
3947.192,347.528
3946.191,347.528
3945.191,347.528
3944.191,347.528
3943.191,347.628
3942.191,347.528
3941.19,347.528
3940.19,347.528
3939.19,347.528
3938.19,347.528
3937.19,347.528
3936.189,347.528
3935.189,347.528
3934.189,347.528
3933.189,347.578
3932.189,347.628
3931.188,347.528
3930.188,347.528
3929.188,347.528
3928.188,347.528
3927.188,347.528
3926.187,347.528
3925.187,347.528
3924.187,347.528
3923.187,347.528
3922.187,347.528
3921.186,347.528
3920.186,347.528
3919.186,347.528
3918.186,347.528
3917.186,347.528
3916.185,347.528
3915.185,347.528
3914.185,347.478
3913.185,347.528
3912.185,347.478
3911.184,347.528
3910.184,347.528
3909.184,347.528
3908.184,347.528
3907.184,347.428
3906.183,347.428
3905.183,347.528
3904.183,347.428
3903.183,347.478
3902.183,347.528
3901.182,347.478
3900.182,347.478
3899.182,347.528
3898.182,347.478
3897.182,347.428
3896.181,347.428
3895.181,347.428
3894.181,347.428
3893.181,347.428
3892.181,347.428
3891.18,347.428
3890.18,347.528
3889.18,347.428
3888.18,347.478
3887.18,347.528
3886.179,347.428
3885.179,347.428
3884.179,347.428
3883.179,347.428
3882.179,347.428
3881.178,347.428
3880.178,347.528
3879.178,347.478
3878.178,347.428
3877.178,347.428
3876.177,347.428
3875.177,347.428
3874.177,347.428
3873.177,347.428
3872.177,347.428
3871.176,347.428
3870.176,347.428
3869.176,347.428
3868.176,347.428
3867.176,347.428
3866.175,347.428
3865.175,347.428
3864.175,347.428
3863.175,347.428
3862.175,347.428
3861.174,347.428
3860.174,347.428
3859.174,347.428
3858.174,347.428
3857.174,347.428
3856.173,347.428
3855.173,347.428
3854.173,347.428
3853.173,347.428
3852.173,347.428
3851.172,347.428
3850.172,347.428
3849.172,347.428
3848.172,347.428
3847.172,347.428
3846.171,347.428
3845.171,347.428
3844.171,347.428
3843.171,347.428
3842.171,347.428
3841.17,347.428
3840.17,347.428
3839.17,347.428
3838.17,347.428
3837.17,347.428
3836.169,347.428
3835.169,347.428
3834.169,347.428
3833.169,347.428
3832.169,347.428
3831.168,347.428
3830.168,347.428
3829.168,347.428
3828.168,347.428
3827.168,347.428
3826.167,347.428
3825.167,347.428
3824.167,347.428
3823.167,347.428
3822.167,347.428
3821.166,347.428
3820.166,347.428
3819.166,347.428
3818.166,347.428
3817.166,347.428
3816.165,347.428
3815.165,347.428
3814.165,347.428
3813.165,347.428
3812.165,347.428
3811.164,347.428
3810.164,347.428
3809.164,347.428
3808.164,347.428
3807.164,347.428
3806.163,347.428
3805.163,347.428
3804.163,347.428
3803.163,347.428
3802.163,347.428
3801.162,347.428
3800.162,347.428
3799.162,347.428
3798.162,347.428
3797.162,347.428
3796.161,347.428
3795.161,347.428
3794.161,347.428
3793.161,347.428
3792.161,347.428
3791.16,347.428
3790.16,347.428
3789.16,347.428
3788.16,347.428
3787.16,347.428
3786.159,347.428
3785.159,347.428
3784.159,347.428
3783.159,347.428
3782.159,347.428
3781.158,347.428
3780.158,347.428
3779.158,347.428
3778.158,347.428
3777.158,347.428
3776.157,347.428
3775.157,347.428
3774.157,347.428
3773.157,347.428
