slope,manning_n,score,wse_rmse_m,wse_bias_m,velocity_rmse_ms,velocity_bias_ms,n_wse,n_velocity
0.0009383767669073588,0.09,0.9801190114034933,0.8463955007716941,-0.5195268882341714,0.13372351063179921,0.11345990739330916,4715,4
0.00035088212858554386,0.055,0.980527186432961,0.8466901480869364,-0.5199104938142466,0.13383703834602456,0.11358940729716102,4715,4
0.0005738114998740221,0.07,0.9836356808891089,0.8489326515995615,-0.5228255322984876,0.13470302928954736,0.11457627154478811,4715,4
3e-05,0.065,0.987503085983642,0.8882106660942815,0.7289217857654151,0.0992924198893606,-0.07120473420501508,4715,4
0.0004487094833883728,0.060000000000000005,1.0042199830527738,0.8637320632859777,-0.5419119185077377,0.14048791976679614,0.12111606109346909,4715,4
3.83641211819922e-05,0.07500000000000001,1.0103450895420112,0.9098650228230887,0.755391285400092,0.10048006671892262,-0.07285742487792213,4715,4
4.906019313555284e-05,0.08499999999999999,1.0126140003676578,0.9120042629889691,0.7581209282657002,0.10060973737868864,-0.0730367584500278,4715,4
8.02300850165915e-05,0.025,1.0140132726124031,0.8707266252685489,-0.5508342336028597,0.14328664734385424,0.12425088956375238,4715,4
0.0009383767669073588,0.08499999999999999,1.0183350187074138,0.8735427067797228,-0.5544193386496842,0.14479231192769104,0.1257760890941427,4715,4
0.0007337924638929234,0.07500000000000001,1.019987836871152,0.8746059239867724,-0.5557701846926102,0.1453819128843794,0.12636612593710367,4715,4
0.00021456221805898323,0.04,1.0394539983013202,0.8821748046200105,-0.5648923581241954,0.15727919368130983,0.13570421924605336,4715,4
0.0002743830311563958,0.045,1.0430064172348072,0.8846462551474847,-0.5680264289642492,0.15836016208732243,0.13687657093342886,4715,4
0.0005738114998740221,0.065,1.0437968296660363,0.8851931394353623,-0.5687274817857175,0.15860369023067394,0.13714041197107682,4715,4
0.00016778350040221708,0.035,1.0466739280370057,0.8871830556275556,-0.5712562628097598,0.15949087240944992,0.13810075479542425,4715,4
0.00035088212858554386,0.05,1.0550029662672382,0.8929268925395114,-0.578478732086534,0.16207607372772684,0.14089226550325473,4715,4
0.00013120344887319337,0.030000000000000002,1.067988379659835,0.901833216522523,-0.5895985722175879,0.166155163137312,0.14527588167301533,4715,4
3e-05,0.07,1.0683354505497062,0.9647000977083837,0.8237815412149744,0.10363535284132261,-0.07715348786341664,4715,4
0.0009383767669073588,0.08,1.0699593739650846,0.9031801622536392,-0.5912735673917701,0.1667792117114454,0.1459445892292619,4715,4
0.0012,0.09,1.073517719647716,0.905608605198416,-0.5942884721155239,0.16790911444929998,0.14715395119135993,4715,4
0.0004487094833883728,0.055,1.0739480245742687,0.9059019908909562,-0.5946522767154838,0.16804603368331253,0.1473003781330933,4715,4
4.906019313555284e-05,0.09,1.0741400954941214,0.9701918361497996,0.8305969573541013,0.1039482593443218,-0.077572882951027,4715,4
0.0007337924638929234,0.07,1.0772250653882032,0.9081343126629503,-0.5974174756381806,0.16909075272525276,0.14841679497002877,4715,4
3.83641211819922e-05,0.08,1.0797325851938988,0.9754838568460683,0.8371874291163897,0.1042487283478306,-0.07797465866495693,4715,4
0.0005738114998740221,0.060000000000000005,1.0987903888902946,0.9227127517332286,-0.6153385822516296,0.17607763715706598,0.15584649069822504,4715,4
0.00010259855680060184,0.025,1.1090353996471307,0.9295667908657558,-0.6236911235603687,0.17946860878137502,0.1594308075881636,4715,4
0.0012,0.08499999999999999,1.1131145686513175,0.9322856188951956,-0.6269919844305293,0.18082894975612207,0.160864981682575,4715,4
